,person_id,age,sex,household_id,workplace_id,district_id,economic_status,school_goers
421245,421245,40,Female,103548000.0,57_informal_petty_trade_1,57,informal_petty_trade,0
5027,5027,28,Male,1421000.0,1_office_worker_70,1,office_worker,0
420952,420952,32,Female,103485000.0,57_subsistence_ag_311,57,subsistence_ag,0
238482,238482,70,Female,59820000.0,26_student_68,26,student,0
608977,608977,17,Male,150808000.0,2_student_277,2,student,1
409305,409305,21,Female,100723000.0,55_student_25,55,student,0
13934,13934,16,Male,3805000.0,1_student_28,1,student,1
234807,234807,14,Female,58890000.0,19_student_61,19,student,1
465553,465553,5,Male,114521000.0,none,32,inactive,0
76836,76836,10,Female,19229000.0,6_student_62,6,student,1
431412,431412,7,Male,105877000.0,none,58,inactive,0
103896,103896,17,Male,26002000.0,9_subsistence_ag_226,9,subsistence_ag,0
104012,104012,6,Female,26036000.0,none,9,inactive,0
456363,456363,43,Female,112195000.0,60_informal_petty_trade_1,60,informal_petty_trade,0
510650,510650,40,Male,125411000.0,37_subsistence_ag_567,37,subsistence_ag,0
349065,349065,18,Female,86478000.0,46_subsistence_ag_157,46,subsistence_ag,0
254027,254027,4,Male,63548000.0,none,27,inactive,0
292900,292900,4,Female,72722000.0,none,28,inactive,0
126739,126739,3,Female,31807000.0,none,11,inactive,0
371360,371360,20,Female,91782000.0,51_student_36,51,student,0
193511,193511,9,Female,48384000.0,none,19,inactive,0
222541,222541,14,Female,55768000.0,23_student_27,23,student,1
460101,460101,4,Male,113207000.0,none,32,inactive,0
529658,529658,0,Female,129878000.0,none,36,inactive,0
345786,345786,46,Female,85621000.0,41_informal_petty_trade_20,41,informal_petty_trade,0
336444,336444,2,Male,83325000.0,none,44,inactive,0
130228,130228,34,Female,32615000.0,12_subsistence_ag_422,12,subsistence_ag,0
312624,312624,12,Female,77831000.0,39_student_7,39,student,1
64350,64350,50,Male,16161000.0,5_subsistence_ag_258,5,subsistence_ag,0
464412,464412,11,Female,114237000.0,32_student_27,32,student,1
300859,300859,21,Male,74725000.0,28_office_worker_4,28,office_worker,0
157907,157907,28,Male,39352000.0,15_police_army_2,15,police_army,0
227499,227499,19,Female,57032000.0,24_subsistence_ag_213,24,subsistence_ag,0
339697,339697,77,Female,84066000.0,44_student_32,44,student,0
523528,523528,19,Female,128326000.0,38_student_33,38,student,0
409752,409752,2,Female,100819000.0,none,55,inactive,0
428103,428103,2,Female,105131000.0,none,58,inactive,0
282505,282505,30,Female,70217000.0,31_ag_estates_24,31,ag_estates,0
310983,310983,1,Female,77388000.0,none,27,inactive,0
571389,571389,11,Male,141130000.0,2_student_87,2,student,1
645941,645941,10,Female,160280000.0,36_student_77,36,student,1
34713,34713,16,Male,9125000.0,3_student_17,3,student,1
534988,534988,60,Female,131313000.0,2_student_537,2,student,0
407985,407985,7,Male,100419000.0,none,55,inactive,0
291573,291573,24,Female,72435000.0,28_student_78,28,student,0
581409,581409,29,Female,143736000.0,2_informal_petty_trade_86,2,informal_petty_trade,0
145623,145623,29,Female,36449000.0,13_student_6,13,student,0
418764,418764,36,Male,102995000.0,57_subsistence_ag_208,57,subsistence_ag,0
358286,358286,20,Male,88646000.0,50_subsistence_ag_41,50,subsistence_ag,0
148202,148202,13,Female,37075000.0,14_student_45,14,student,1
611126,611126,41,Male,151375000.0,2_informal_petty_trade_212,2,informal_petty_trade,0
37229,37229,41,Female,9727000.0,3_subsistence_ag_106,3,subsistence_ag,0
580724,580724,27,Male,143571000.0,2_manu_mining_trades_83,2,manu_mining_trades,0
500083,500083,5,Male,122929000.0,none,36,inactive,0
228124,228124,48,Female,57182000.0,24_subsistence_ag_346,24,subsistence_ag,0
125900,125900,20,Male,31610000.0,11_subsistence_ag_85,11,subsistence_ag,0
636150,636150,34,Female,157958000.0,2_healthcare_social_work_121,2,healthcare_social_work,0
416774,416774,18,Male,102521000.0,57_other_8,57,other,0
379114,379114,13,Female,93670000.0,46_student_7,46,student,1
295411,295411,2,Male,73334000.0,none,30,inactive,0
120456,120456,22,Male,30289000.0,10_manu_mining_trades_14,10,manu_mining_trades,0
158528,158528,91,Male,39495000.0,15_subsistence_ag_26,15,subsistence_ag,0
35494,35494,2,Female,9313000.0,none,3,inactive,0
184252,184252,23,Female,45965000.0,18_student_9,18,student,0
542853,542853,20,Female,133516000.0,2_student_311,2,student,1
558385,558385,32,Female,137703000.0,2_student_148,2,student,0
650744,650744,24,Male,160675000.0,28_informal_petty_trade_3,28,informal_petty_trade,0
514430,514430,2,Male,126218000.0,none,37,inactive,0
425367,425367,23,Female,104518000.0,58_subsistence_ag_269,58,subsistence_ag,0
331790,331790,65,Male,82300000.0,43_subsistence_ag_192,43,subsistence_ag,0
396077,396077,82,Female,97778000.0,54_student_42,54,student,0
371152,371152,7,Female,91742000.0,none,51,inactive,0
530856,530856,2,Female,130230000.0,none,33,inactive,0
