weekday,home_region,d_1,d_2,d_3,d_4,d_5,d_6,d_7,d_8,d_9,d_10,d_11,d_12,d_13,d_14,d_15,d_16,d_17,d_18,d_19,d_20,d_21,d_22,d_23,d_24,d_25,d_26,d_27,d_28,d_29,d_30,d_31,d_32,d_33,d_34,d_35,d_36,d_37,d_38,d_39,d_40,d_41,d_42,d_43,d_44,d_45,d_46,d_47,d_48,d_49,d_50,d_51,d_52,d_53,d_54,d_55,d_56,d_57,d_58,d_59,d_60
3,d_10,0,4.3606,4.3606,4.3606,4.3606,4.3738999,4.3849001,4.3849001,4.3849001,67.1931,67.313499,67.397102,78.536201,81.847,82.092697,95.684799,95.713303,98.402,98.448898,98.448898,98.6894,98.6894,98.775398,99.213799,99.213799,99.3741,99.379898,99.426399,99.426399,99.4646,99.972603,99.972603,99.972603,99.972603,99.972603,99.977699,99.977699,99.977699,99.977699,99.977699,99.977699,99.977699,99.977699,99.977699,99.977699,99.977699,99.977699,99.977699,99.977699,99.977699,99.977699,99.977699,99.977699,99.977699,99.977699,99.9832,100,100,100,100
4,d_10,0.0035,4.5425,4.5425,4.5425,4.5425,4.5743999,4.5924001,4.5924001,4.5924001,66.223198,66.336998,66.4132,77.441902,80.851097,81.069298,95.636497,95.673698,98.319901,98.366302,98.366302,98.578499,98.578499,98.667397,99.1455,99.1455,99.283699,99.300697,99.353798,99.353798,99.391701,99.903801,99.903801,99.903801,99.903801,99.923203,99.939301,99.939301,99.939301,99.939301,99.939301,99.939301,99.939301,99.939301,99.939301,99.939301,99.939301,99.939301,99.939301,99.939301,99.939301,99.939301,99.939301,99.970497,99.970497,99.970497,99.9785,100,100,100,100
5,d_10,0,5.2895002,5.2895002,5.2895002,5.2895002,5.3287001,5.3558998,5.3594999,5.3594999,64.631897,64.738098,64.840103,76.127098,79.547096,79.807701,95.111,95.148903,98.067497,98.1483,98.1483,98.402496,98.409599,98.525597,98.955902,98.955902,99.135498,99.161499,99.229897,99.229897,99.280098,99.904099,99.904099,99.904099,99.904099,99.908203,99.931099,99.931099,99.931099,99.931099,99.931099,99.931099,99.931099,99.931099,99.931099,99.931099,99.931099,99.931099,99.931099,99.931099,99.931099,99.931099,99.931099,99.949799,99.949799,99.949799,99.963303,100,100,100,100
6,d_10,0,5.1363001,5.1363001,5.1363001,5.1363001,5.1613002,5.1684999,5.1684999,5.1684999,64.699303,64.8414,64.917397,76.9552,80.285004,80.5541,95.218201,95.257599,98.0877,98.153801,98.153801,98.414299,98.422302,98.542603,99.010498,99.010498,99.1912,99.1912,99.2435,99.2435,99.2817,99.902397,99.902397,99.902397,99.902397,99.913696,99.935898,99.935898,99.935898,99.935898,99.935898,99.935898,99.935898,99.935898,99.935898,99.935898,99.935898,99.935898,99.935898,99.935898,99.935898,99.935898,99.935898,99.944504,99.944504,99.944504,99.962898,100,100,100,100
0,d_11,0,1.6611,1.6611,1.6611,1.6611,1.6611,1.6611,1.6611,1.6611,2.0596001,58.3367,78.5532,84.681099,99.637497,99.637497,99.693298,99.693298,99.712799,99.712799,99.712799,99.712799,99.712799,99.712799,99.712799,99.712799,99.727097,99.727097,99.739502,99.739502,99.749199,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,d_11,0,1.6962,1.6962,1.6962,1.6962,1.6962,1.6962,1.6962,1.6962,2.0225,59.007401,79.144798,85.467499,99.768997,99.768997,99.781197,99.781197,99.781197,99.781197,99.781197,99.781197,99.781197,99.781197,99.781197,99.781197,99.781197,99.781197,99.781197,99.781197,99.781197,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2,d_11,0,1.5576,1.5576,1.5576,1.5576,1.5576,1.5576,1.5576,1.5576,1.9443001,59.118801,79.5755,85.732002,99.770599,99.770599,99.807602,99.807602,99.819702,99.819702,99.819702,99.819702,99.819702,99.819702,99.819702,99.819702,99.819702,99.819702,99.819702,99.819702,99.819702,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
3,d_11,0,1.4061,1.4061,1.4061,1.4061,1.4061,1.4061,1.4061,1.4061,1.7984,58.815201,79.393997,85.2808,99.783997,99.783997,99.814796,99.814796,99.8293,99.8293,99.8293,99.8293,99.8293,99.8293,99.8293,99.8293,99.8293,99.8293,99.8293,99.8293,99.8293,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
4,d_11,0,1.4622999,1.4622999,1.4622999,1.4622999,1.4622999,1.4622999,1.4622999,1.4622999,1.7991,59.343498,79.8843,85.554001,99.695702,99.695702,99.719498,99.719498,99.7864,99.7864,99.7864,99.7864,99.7864,99.7864,99.7864,99.7864,99.7864,99.7864,99.7864,99.7864,99.7864,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
5,d_11,0,1.5815001,1.5815001,1.5815001,1.5815001,1.5815001,1.5815001,1.5815001,1.5815001,2.0093999,59.272499,79.069901,84.929398,99.581001,99.581001,99.668297,99.668297,99.752197,99.752197,99.752197,99.752197,99.752197,99.766602,99.766602,99.766602,99.766602,99.766602,99.766602,99.766602,99.766602,99.986397,99.986397,99.986397,99.986397,99.986397,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
