,date,cases_by_day,deaths_by_day,cum_deaths
132,2020-07-30,174.0,1.0,58.0
133,2020-07-31,166.0,3.0,61.0
134,2020-08-01,205.0,1.0,62.0
135,2020-08-02,74.0,0.0,62.0
136,2020-08-03,136.0,0.0,62.0
137,2020-08-04,67.0,2.0,64.0
138,2020-08-05,186.0,11.0,75.0
139,2020-08-06,51.0,7.0,82.0
140,2020-08-07,90.0,1.0,83.0
141,2020-08-08,93.0,4.0,87.0
142,2020-08-09,16.0,1.0,88.0
143,2020-08-10,22.0,0.0,88.0
144,2020-08-11,54.0,1.0,89.0
145,2020-08-12,64.0,0.0,89.0
146,2020-08-13,63.0,2.0,91.0
147,2020-08-14,103.0,11.0,102.0
148,2020-08-15,100.0,0.0,102.0
149,2020-08-16,117.0,3.0,105.0
150,2020-08-17,34.0,2.0,107.0
151,2020-08-18,130.0,0.0,107.0
152,2020-08-19,33.0,0.0,107.0
153,2020-08-20,66.0,2.0,109.0
154,2020-08-21,37.0,2.0,111.0
155,2020-08-22,48.0,1.0,112.0
156,2020-08-23,55.0,0.0,112.0
157,2020-08-24,10.0,0.0,112.0
158,2020-08-25,14.0,1.0,113.0
159,2020-08-26,14.0,1.0,114.0
160,2020-08-27,15.0,0.0,114.0
161,2020-08-28,11.0,3.0,117.0
162,2020-08-29,20.0,0.0,117.0
163,2020-08-30,3.0,0.0,117.0
164,2020-08-31,0.0,0.0,117.0
165,2020-09-01,5.0,0.0,117.0
