time	myId	metric_died_count	metric_new_hospitalized	metric_new_critical	metric_new_cases_asympt	metric_new_cases_sympt	metric_new_deaths	
4	d_39	0	0	0	0	0	0	
4	d_47	0	0	0	0	0	0	
4	d_48	0	0	0	0	0	0	
4	d_45	0	0	0	0	0	0	
4	d_46	0	0	0	0	0	0	
4	d_43	0	0	0	0	0	0	
4	d_44	0	0	0	0	0	0	
4	d_2	0	0	0	0	0	0	
4	d_41	0	0	0	0	0	0	
4	d_1	0	0	0	0	0	0	
4	d_42	0	0	0	0	0	0	
4	d_4	0	0	0	0	0	0	
4	d_3	0	0	0	0	0	0	
4	d_40	0	0	0	0	0	0	
4	d_6	0	0	0	0	0	0	
4	d_5	0	0	0	0	0	0	
4	d_8	0	0	0	0	0	0	
4	d_7	0	0	0	0	0	0	
4	d_9	0	0	0	0	0	0	
4	d_29	0	0	0	0	0	0	
4	d_27	0	0	0	0	0	0	
4	d_28	0	0	0	0	0	0	
4	d_36	0	0	0	0	0	0	
4	d_37	0	0	0	0	0	0	
4	d_34	0	0	0	0	0	0	
4	d_35	0	0	0	0	0	0	
4	d_32	0	0	0	0	0	0	
4	d_33	0	0	0	0	0	0	
4	d_30	0	0	0	0	0	0	
4	d_31	0	0	0	0	0	0	
4	d_18	0	0	0	0	0	0	
4	d_19	0	0	0	0	0	0	
4	d_16	0	0	0	0	0	0	
4	d_17	0	0	0	0	0	0	
4	d_25	0	0	0	0	0	0	
4	d_26	0	0	0	0	0	0	
4	d_23	0	0	0	0	0	0	
4	d_24	0	0	0	0	0	0	
4	d_21	0	0	0	0	0	0	
4	d_22	0	0	0	0	0	0	
4	d_20	0	0	0	0	0	0	
4	d_60	0	0	0	0	0	0	
4	d_49	0	0	0	0	0	0	
4	d_14	0	0	0	0	0	0	
4	d_58	0	0	0	0	0	0	
4	d_15	0	0	0	0	0	0	
4	d_59	0	0	0	0	0	0	
4	d_12	0	0	0	0	0	0	
4	d_56	0	0	0	0	0	0	
4	d_13	0	0	0	0	0	0	
4	d_57	0	0	0	0	0	0	
4	d_10	0	0	0	0	0	0	
4	d_54	0	0	0	0	0	0	
4	d_11	0	0	0	0	0	0	
4	d_55	0	0	0	0	0	0	
4	d_52	0	0	0	0	0	0	
4	d_53	0	0	0	0	0	0	
4	d_50	0	0	0	0	0	0	
4	d_51	0	0	0	0	0	0	
5	d_38	0	0	0	0	0	0	
5	d_39	0	0	0	0	0	0	
5	d_47	0	0	0	0	0	0	
5	d_48	0	0	0	1	2	0	
5	d_45	0	0	0	0	0	0	
5	d_46	0	0	0	0	0	0	
5	d_43	0	0	0	0	0	0	
5	d_44	0	0	0	0	0	0	
5	d_2	0	0	0	2	5	0	
5	d_41	0	0	0	0	0	0	
5	d_1	0	0	0	0	1	0	
5	d_42	0	0	0	0	0	0	
5	d_4	0	0	0	0	0	0	
5	d_3	0	0	0	0	0	0	
5	d_40	0	0	0	0	0	0	
5	d_6	0	0	0	0	0	0	
5	d_5	0	0	0	0	0	0	
5	d_8	0	0	0	0	0	0	
5	d_7	0	0	0	0	0	0	
5	d_9	0	0	0	0	0	0	
5	d_29	0	0	0	0	0	0	
5	d_27	0	0	0	0	0	0	
5	d_28	0	0	0	0	0	0	
5	d_36	0	0	0	0	0	0	
5	d_37	0	0	0	0	0	0	
5	d_34	0	0	0	0	0	0	
5	d_35	0	0	0	0	0	0	
5	d_32	0	0	0	0	0	0	
5	d_33	0	0	0	0	0	0	
5	d_30	0	0	0	0	0	0	
5	d_31	0	0	0	0	0	0	
5	d_18	0	0	0	0	2	0	
5	d_19	0	0	0	0	0	0	
5	d_16	0	0	0	0	0	0	
5	d_17	0	0	0	0	0	0	
5	d_25	0	0	0	0	0	0	
5	d_26	0	0	0	0	0	0	
5	d_23	0	0	0	0	0	0	
5	d_24	0	0	0	0	0	0	
5	d_21	0	0	0	0	0	0	
5	d_22	0	0	0	0	0	0	
5	d_20	0	0	0	0	0	0	
5	d_60	0	0	0	0	0	0	
5	d_49	0	0	0	0	0	0	
5	d_14	0	0	0	0	0	0	
5	d_58	0	0	0	0	0	0	
5	d_15	0	0	0	0	0	0	
5	d_59	0	0	0	0	0	0	
5	d_12	0	0	0	0	0	0	
5	d_56	0	0	0	0	0	0	
5	d_13	0	0	0	0	0	0	
5	d_57	0	0	0	0	0	0	
5	d_10	0	0	0	0	0	0	
5	d_54	0	0	0	0	0	0	
5	d_11	0	0	0	0	0	0	
5	d_55	0	0	0	0	0	0	
5	d_52	0	0	0	0	0	0	
5	d_53	0	0	0	0	0	0	
5	d_50	0	0	0	0	0	0	
5	d_51	0	0	0	0	0	0	
6	d_38	0	0	0	0	0	0	
6	d_39	0	0	0	0	0	0	
6	d_47	0	0	0	0	0	0	
6	d_48	0	0	0	0	1	0	
6	d_45	0	0	0	0	0	0	
6	d_46	0	0	0	0	0	0	
6	d_43	0	0	0	0	0	0	
6	d_44	0	0	0	0	0	0	
6	d_2	0	0	0	1	6	0	
6	d_41	0	0	0	0	0	0	
6	d_1	0	0	0	1	0	0	
6	d_42	0	0	0	0	0	0	
6	d_4	0	0	0	0	0	0	
6	d_3	0	0	0	0	0	0	
6	d_40	0	0	0	0	0	0	
6	d_6	0	0	0	0	0	0	
6	d_5	0	0	0	0	0	0	
6	d_8	0	0	0	0	0	0	
6	d_7	0	0	0	0	0	0	
6	d_9	0	0	0	0	0	0	
6	d_29	0	0	0	0	0	0	
6	d_27	0	0	0	0	0	0	
6	d_28	0	0	0	0	0	0	
6	d_36	0	0	0	0	0	0	
6	d_37	0	0	0	0	0	0	
6	d_34	0	0	0	0	0	0	
6	d_35	0	0	0	0	0	0	
6	d_32	0	0	0	0	0	0	
6	d_33	0	0	0	0	0	0	
6	d_30	0	0	0	0	0	0	
6	d_31	0	0	0	1	1	0	
6	d_18	0	0	0	2	4	0	
6	d_19	0	0	0	0	0	0	
6	d_16	0	0	0	0	0	0	
6	d_17	0	0	0	0	0	0	
6	d_25	0	0	0	0	0	0	
6	d_26	0	0	0	0	0	0	
6	d_23	0	0	0	0	0	0	
6	d_24	0	0	0	0	0	0	
6	d_21	0	0	0	1	0	0	
6	d_22	0	0	0	0	0	0	
6	d_20	0	0	0	0	0	0	
